YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2007,40.7,30.9,47.7,53.6,67.8,76.1,79.3,79.7,72.9,67.1,49.8,41.8
2008,40.0,41.0,49.0,58.9,64.7,77.9,80.8,77.9,74.0,58.9,46.6,40.3
2009,31.7,39.8,45.2,57.0,65.5,73.7,76.9,79.9,70.2,58.5,52.2,37.9
2010,35.3,34.2,51.2,60.9,69.4,80.6,83.1,80.2,75.5,61.6,50.5,34.6
2011,33.7,41.8,45.6,58.8,68.4,78.8,84.5,80.0,71.3,58.4,52.4,45.0
2012,40.8,44.4,56.8,58.3,71.4,76.3,84.0,81.0,72.2,61.0,46.6,45.4
2013,40.3,38.4,43.8,58.9,66.7,76.5,81.2,77.1,71.3,62.4,46.6,42.3
2014,32.2,37.8,42.9,57.3,68.5,77.2,79.4,77.7,73.8,62.9,48.0,43.7
2015,35.6,30.3,45.3,59.4,73.2,78.1,81.5,79.3,74.9,58.9,53.7,51.2
2016,34.9,39.9,53.5,56.9,63.9,76.2,82.7,82.7,76.0,63.1,52.6,41.8
2017,42.1,47.7,47.2,63.8,65.5,77.3,81.7,77.4,72.5,64.9,49.8,39.2
2018,35.7,45.3,43.6,54.9,72.4,76.2,80.7,81.0,75.5,62.6,46.5,43.5
2019,37.2,42.2,46.8,62.4,71.0,76.4,82.1,80.1,76.5,64.1,46.1,42.2
2020,42.4,43.8,53.2,55.3,63.8,77.0,83.9,79.6,70.2,61.9,54.3,41.4
2021,38.6,37.8,51.2,58.2,66.1,76.6,80.9,80.9,73.2,66.3,47.9,47.6
2022,34.6,42.6,50.4,56.9,67.8,76.0,81.1,80.4,72.7,58.2,52.6,40.1
